id,price,address,bed,bath,type
536,2900,2,2,2,Apartment
537,3900,2,3,2,Apartment
538,2050,15,2,2,House
539,2350,15,3,3,House
540,2500,15,4,3,House
541,1750,8,1,1,Apartment
542,2450,2,1,1,Apartment
543,1750,18,1,2,Apartment
544,2150,18,2,2,Apartment
545,3250,5,3,2,House
546,2000,6.5,1,1,Apartment
547,2325,6.5,2,2,Apartment
548,3000,6.5,3,2,Apartment
549,1900,18,1,1,Apartment
550,2450,18,2,2,Apartment
551,3000,2,2,2,Apartment
552,6000,2,3,3,Apartment
553,3200,18,3,2,Apartment
554,2150,6,1,1,Apartment
555,2700,6,2,2,Apartment
556,2050,8,1,1,Apartment
557,3650,2,2,2,Apartment
558,3750,2,2,2,Apartment
559,2750,19,2,2,Apartment
560,3300,2,2,2,Apartment
561,4200,2,2,2,Apartment
562,4230,2,3,2,Apartment
563,2500,1,1,1,Apartment
564,3245,1,2,2,Apartment
565,3575,1,2,2,Apartment
566,2000,19,1,1,Apartment
567,2335,19,2,2,Apartment
568,2850,19,3,2,Apartment
569,1900,9,1,1,Apartment
570,2250,9,2,2,Apartment
571,3045,9,3,3,Apartment
572,2000,6,1,1,Apartment
573,2400,6,2,2,Apartment
574,3200,6,3,2,Apartment
575,3150,2,2,2,Apartment
576,3572,2,2,2,Apartment
577,4000,2,2,2,Apartment
578,2450,2,1,1,Apartment
579,2900,2,2,2,Apartment
580,3900,2,3,2,Apartment
581,2050,15,2,2,House
582,2350,15,3,3,House
583,2500,15,4,3,House
584,1750,8,1,1,Apartment
585,2450,2,1,1,Apartment
586,1750,18,1,2,Apartment
587,2150,18,2,2,Apartment
588,3250,5,3,2,House
589,2000,6.5,1,1,Apartment
590,2325,6.5,2,2,Apartment
591,3000,6.5,3,2,Apartment
592,1900,18,1,1,Apartment
593,2450,18,2,2,Apartment
594,3000,2,2,2,Apartment
595,6000,2,3,3,Apartment
596,3200,18,3,2,Apartment
597,2150,6,1,1,Apartment
598,2700,6,2,2,Apartment
599,2050,8,1,1,Apartment
600,3650,2,2,2,Apartment
601,3750,2,2,2,Apartment
602,2750,19,2,2,Apartment
603,3300,2,2,2,Apartment
604,4200,2,2,2,Apartment
605,4230,2,3,2,Apartment
606,2500,1,1,1,Apartment
607,3245,1,2,2,Apartment
608,3575,1,2,2,Apartment
609,2000,19,1,1,Apartment
610,2335,19,2,2,Apartment
611,2850,19,3,2,Apartment
612,1900,9,1,1,Apartment
613,2250,9,2,2,Apartment
614,3045,9,3,3,Apartment
615,2000,6,1,1,Apartment
616,2400,6,2,2,Apartment
617,3200,6,3,2,Apartment
618,3150,2,2,2,Apartment
619,3572,2,2,2,Apartment
620,4000,2,2,2,Apartment
621,2450,2,1,1,Apartment
622,2900,2,2,2,Apartment
623,3900,2,3,2,Apartment
624,2050,15,2,2,House
625,2350,15,3,3,House
626,2500,15,4,3,House
627,1750,8,1,1,Apartment
628,2450,2,1,1,Apartment
629,1750,18,1,2,Apartment
630,2150,18,2,2,Apartment
631,3250,5,3,2,House
632,2000,6.5,1,1,Apartment
633,2325,6.5,2,2,Apartment
634,3000,6.5,3,2,Apartment
635,1900,18,1,1,Apartment
636,2450,18,2,2,Apartment
637,3000,2,2,2,Apartment
638,6000,2,3,3,Apartment
639,3200,18,3,2,Apartment
640,2150,6,1,1,Apartment
641,2700,6,2,2,Apartment
642,2050,8,1,1,Apartment
643,3650,2,2,2,Apartment
644,3750,2,2,2,Apartment
645,2750,19,2,2,Apartment
646,3300,2,2,2,Apartment
647,4200,2,2,2,Apartment
648,4230,2,3,2,Apartment
649,2500,1,1,1,Apartment
650,3245,1,2,2,Apartment
651,3575,1,2,2,Apartment
652,2000,19,1,1,Apartment
653,2335,19,2,2,Apartment
654,2850,19,3,2,Apartment
655,1900,9,1,1,Apartment
656,2250,9,2,2,Apartment
657,3045,9,3,3,Apartment
658,2000,6,1,1,Apartment
659,2400,6,2,2,Apartment
660,3200,6,3,2,Apartment
661,2450,2,1,1,Apartment
662,2900,2,2,2,Apartment
663,3900,2,3,2,Apartment
664,3150,2,2,2,Apartment
665,3572,2,2,2,Apartment
666,4000,2,2,2,Apartment
667,2050,15,2,2,House
668,2350,15,3,3,House
669,2500,15,4,3,House
670,1750,8,1,1,Apartment
671,2450,2,1,1,Apartment
672,1750,18,1,2,Apartment
673,2150,18,2,2,Apartment
674,3250,5,3,2,House
675,2000,6.5,1,1,Apartment
676,2325,6.5,2,2,Apartment
677,3000,6.5,3,2,Apartment
678,1900,18,1,1,Apartment
